maize,soybean,hay,pkc,protein,fiber,energy,breed,age,weight,milk_yield,weight_gain,cost
59,34,14,0,21.56,11.38,60.11,Bunaji,6,577,38.04,4.08,581.02
32,14,22,32,23.07,13.94,69.22,Holstein,3,572,34.2,4.13,371.36
46,22,22,10,21.54,14.26,84.73,Bunaji,1,612,38.71,4.41,459.9
50,32,19,0,13.68,12.02,79.74,Holstein,2,605,33.47,4.39,532.86
31,16,11,42,15.73,15.4,89.25,Jersey,1,609,32.63,3.81,445.9
25,28,39,8,12.24,13.19,83.6,White Fulani,5,527,30.09,3.66,462.17
23,26,21,30,12.88,14.99,63.84,White Fulani,8,459,27.18,2.91,455.38
30,32,35,3,14.07,13.62,87.77,Bunaji,3,646,30.09,3.95,510.32
48,20,29,3,22.92,17.27,59.2,Holstein,3,631,34.82,3.65,436.71
39,15,28,18,15.56,19.81,66.37,Friesian,6,776,29.26,3.39,413.8
44,33,21,2,19.32,13.66,71.73,Friesian,9,558,36.29,3.76,513.6
48,21,30,1,23.85,19.61,57.42,Friesian,9,455,35.75,4.2,474.02
39,13,18,30,14.61,13.9,52.57,White Fulani,6,750,26.64,2.96,390.08
27,30,27,16,20.85,12.75,88.99,White Fulani,6,793,35.26,4.5,494.84
57,18,17,8,21.42,16.99,55.84,Holstein,9,295,33.96,3.65,478.07
29,17,27,27,16.24,14.21,53.51,Bunaji,1,365,27.92,2.72,381.85
57,16,35,0,20.96,17.61,58.01,Friesian,7,677,33.9,3.77,478.24
27,17,27,29,20.13,17.4,74.49,Holstein,7,708,33.04,3.8,421.0
41,12,18,29,14.13,13.26,78.99,Holstein,7,773,27.44,3.79,407.37
37,15,27,21,20.49,11.99,71.7,Bunaji,3,284,34.94,3.83,371.76
34,10,16,40,18.01,18.42,79.09,Holstein,8,653,32.83,4.1,378.57
51,18,13,18,12.38,12.75,74.25,Bunaji,2,544,31.47,4.0,414.47
31,12,22,35,18.06,18.03,59.43,Jersey,8,349,28.45,3.25,347.99
33,33,16,18,16.67,15.12,56.54,Bunaji,9,277,30.89,3.35,490.08
20,17,21,42,13.7,19.64,68.15,Friesian,3,519,24.71,2.74,383.26
24,29,17,30,20.02,16.48,56.68,Friesian,4,533,32.53,3.12,522.53
47,24,24,5,19.26,14.48,51.37,Bunaji,2,760,30.03,3.57,470.82
31,19,29,21,24.83,19.58,50.2,Jersey,2,466,31.97,3.55,422.93
50,33,24,0,18.78,12.11,71.29,Jersey,7,633,36.81,4.1,537.11
27,15,14,44,24.52,11.06,76.47,Friesian,7,467,35.59,4.04,402.46
37,26,35,2,23.3,14.85,51.22,Jersey,8,594,36.14,3.68,470.77
24,18,35,23,16.53,9.91,74.2,Holstein,9,410,28.14,3.73,391.95
28,30,22,20,15.75,9.31,76.02,White Fulani,6,743,32.17,3.78,501.8
20,33,39,8,19.08,8.07,62.98,Holstein,7,392,32.32,3.07,510.05
44,10,26,20,19.09,13.33,50.59,Friesian,3,252,29.53,3.36,379.79
34,21,13,32,19.9,17.18,82.52,Jersey,2,613,33.27,4.3,452.62
44,13,20,23,16.94,10.37,69.17,Bunaji,3,583,27.87,3.78,382.23
47,12,17,24,16.05,15.32,78.65,White Fulani,1,339,29.32,4.08,398.82
50,21,19,10,22.4,10.22,61.81,Bunaji,1,694,37.98,3.96,445.42
32,32,31,5,22.65,18.61,59.12,Friesian,9,259,35.75,3.45,471.37
27,33,25,15,19.24,11.07,62.08,Jersey,8,780,34.1,3.54,511.73
29,10,32,29,19.63,10.02,79.47,Bunaji,2,681,33.05,3.73,342.2
26,20,19,35,15.34,15.58,52.34,Bunaji,9,569,26.57,2.7,398.29
58,18,26,0,12.21,12.09,82.75,White Fulani,4,467,28.11,4.39,440.53
55,17,14,14,23.62,10.3,62.93,White Fulani,6,674,35.19,4.58,452.87
46,30,17,7,23.44,15.81,71.32,Jersey,3,591,40.71,4.37,547.93
53,32,39,0,16.34,14.97,53.55,White Fulani,5,726,30.57,3.61,559.7
35,21,26,18,15.91,19.77,69.0,Bunaji,7,597,29.91,3.74,450.28
20,34,39,7,18.77,15.48,53.56,Bunaji,7,410,31.31,3.44,479.18
21,18,30,31,16.5,10.87,70.39,Friesian,3,429,28.3,3.4,397.07
37,32,15,16,23.95,13.96,89.69,Bunaji,5,493,42.14,4.61,532.38
49,23,15,13,13.84,10.54,82.75,Jersey,5,379,32.02,4.3,474.4
21,34,38,7,23.21,19.07,69.48,Holstein,6,487,36.95,3.4,465.7
53,17,30,0,12.34,9.62,88.52,Friesian,4,696,30.91,4.09,437.0
21,32,28,19,17.02,14.77,57.67,Friesian,9,631,29.18,2.92,477.66
26,25,25,24,12.81,14.11,89.87,Jersey,1,350,29.56,3.55,469.25
55,15,16,14,21.42,17.51,66.19,Jersey,3,768,31.77,4.7,420.88
24,32,11,33,13.74,13.02,81.61,White Fulani,5,720,29.64,3.64,482.63
20,22,30,28,22.85,15.55,57.95,Friesian,5,422,32.41,3.19,438.32
40,29,32,0,13.94,9.53,84.59,White Fulani,2,476,31.2,3.76,452.73
57,19,30,0,24.43,9.6,54.09,Bunaji,8,642,36.38,3.91,457.25
59,30,37,0,20.28,15.91,85.8,Friesian,8,328,40.43,4.74,599.52
38,14,21,27,18.66,16.16,51.67,Friesian,9,336,27.92,3.28,374.06
30,29,24,17,24.25,17.41,64.19,Holstein,5,599,35.5,3.58,477.11
47,26,17,10,22.0,15.5,65.28,Friesian,2,631,36.2,3.97,485.46
29,30,13,28,15.81,19.76,74.08,Bunaji,5,409,32.53,3.74,507.87
53,20,19,8,16.4,19.14,58.98,White Fulani,9,737,27.7,3.26,465.59
49,29,30,0,20.79,13.95,50.51,White Fulani,5,371,34.43,3.6,522.32
31,18,24,27,15.28,17.06,68.42,Holstein,8,551,29.67,3.58,394.22
41,31,20,8,15.5,14.47,79.12,Bunaji,2,790,34.6,3.85,512.47
50,24,28,0,13.96,12.11,66.54,White Fulani,5,602,27.49,3.71,508.23
58,21,24,0,23.4,13.21,56.43,Jersey,8,378,37.46,4.13,475.83
23,17,12,48,17.22,17.6,58.16,Bunaji,5,551,25.53,3.15,436.93
55,31,19,0,21.89,8.42,79.83,Bunaji,9,667,39.85,4.74,559.44
35,28,32,5,18.11,14.02,54.99,Holstein,4,269,30.12,3.39,478.88
59,16,30,0,12.38,10.0,57.25,White Fulani,4,522,25.78,3.41,491.16
33,12,33,22,13.35,10.71,78.12,Bunaji,8,785,29.1,3.79,387.57
38,31,33,0,16.35,17.42,78.31,White Fulani,4,268,33.13,3.7,493.13
52,27,29,0,12.81,17.62,80.66,Jersey,9,367,30.53,4.47,533.42
46,24,15,15,24.88,16.97,79.6,Holstein,5,754,41.27,4.62,475.97
22,22,20,36,12.31,17.98,60.92,Jersey,1,675,24.07,2.99,420.17
39,26,30,5,17.96,13.8,55.34,Holstein,4,544,27.74,2.76,461.78
55,15,18,12,14.07,15.32,55.41,Bunaji,4,797,25.87,3.28,405.61
44,22,15,19,12.85,13.85,51.34,Holstein,4,499,23.18,2.67,476.67
52,16,15,17,23.7,8.26,76.55,Friesian,4,721,39.48,4.54,430.81
33,34,14,19,24.76,11.08,76.17,White Fulani,5,554,39.87,4.28,522.29
31,34,38,0,13.48,9.81,59.01,White Fulani,9,576,29.75,3.45,526.24
58,31,26,0,19.07,8.98,68.33,Friesian,1,766,33.63,4.07,603.2
58,31,21,0,12.81,14.15,82.26,Jersey,3,492,32.94,4.39,538.82
23,23,29,25,18.75,10.46,85.11,Friesian,6,630,33.38,4.01,431.36
45,26,11,18,12.85,13.57,86.37,Bunaji,1,476,32.71,3.98,481.47
38,14,28,20,14.54,10.24,53.76,Bunaji,9,413,27.51,2.91,371.52
28,24,24,24,23.9,14.4,56.32,White Fulani,4,703,33.48,3.65,441.3
27,14,37,22,22.66,11.76,81.94,Bunaji,6,793,34.73,4.2,363.15
35,10,22,33,24.79,16.02,75.39,White Fulani,4,351,36.42,4.05,362.96
24,12,38,26,16.38,11.56,86.73,Friesian,6,460,31.17,3.96,372.64
28,30,33,9,18.42,17.94,63.41,Friesian,5,405,31.3,3.3,461.75
30,34,32,4,20.07,12.23,83.66,Friesian,3,538,34.75,4.19,486.2
21,12,17,50,12.05,16.18,56.69,White Fulani,4,373,21.5,2.6,369.28
34,30,12,24,21.92,12.9,80.37,Friesian,4,709,39.0,4.32,490.12
32,24,27,17,20.46,18.49,50.01,Friesian,2,799,30.09,2.9,444.23
33,29,26,12,12.55,16.88,86.72,Jersey,7,332,29.78,4.06,490.9
26,23,18,33,15.96,17.95,61.26,Friesian,4,647,27.69,3.1,443.6
28,10,33,29,15.69,17.89,52.97,Bunaji,9,583,24.08,3.12,389.21
35,26,25,14,12.45,14.99,89.82,White Fulani,2,718,30.28,4.02,472.95
52,30,38,0,18.83,8.39,84.74,Jersey,2,729,40.3,4.65,607.75
59,21,31,0,17.65,17.29,74.08,Holstein,4,655,36.89,4.55,519.8
23,32,16,29,13.71,10.81,81.47,White Fulani,3,741,32.46,3.61,510.03
20,17,32,31,17.29,18.7,50.12,Bunaji,6,532,25.17,2.63,361.87
54,25,22,0,18.17,15.09,71.48,White Fulani,1,551,34.78,4.04,500.51
58,30,30,0,19.44,14.15,61.74,Bunaji,9,593,36.23,3.83,555.62
58,32,18,0,12.39,16.11,51.79,Bunaji,1,417,27.88,2.97,524.32
27,30,22,21,19.9,11.71,82.95,Holstein,7,499,37.51,4.11,477.46
23,10,13,54,16.8,9.45,66.76,White Fulani,4,362,28.15,3.41,366.63
48,18,19,15,16.7,15.12,50.41,Holstein,2,367,29.24,3.09,441.2
22,25,39,14,13.85,8.14,66.88,Holstein,3,484,30.43,3.67,423.29
45,14,30,11,22.5,10.59,68.66,White Fulani,8,754,34.82,3.96,393.08
28,30,15,27,22.26,13.36,81.94,Friesian,3,444,39.86,3.77,479.14
51,34,31,0,21.17,16.26,64.98,Friesian,8,256,36.32,3.94,572.99
47,12,20,21,17.02,17.5,73.84,Holstein,1,574,30.67,4.25,401.22
31,15,10,44,13.37,10.01,88.88,Jersey,8,593,30.45,3.96,402.27
46,19,28,7,12.3,17.07,68.34,Holstein,5,371,27.47,3.72,425.32
23,27,37,13,19.09,9.06,74.28,Holstein,4,358,33.63,3.72,422.64
42,28,12,18,15.93,11.11,57.78,Holstein,1,590,30.84,3.12,480.7
30,16,13,41,16.51,14.97,55.57,Friesian,3,360,26.21,3.21,427.21
37,17,31,15,19.4,15.45,58.05,Friesian,5,769,31.84,3.45,396.65
55,31,28,0,13.72,15.12,73.96,Friesian,6,389,32.0,4.02,547.77
31,15,26,28,24.34,14.15,53.75,Holstein,4,477,35.88,3.27,381.92
43,32,24,1,19.87,19.02,64.49,Jersey,1,331,38.48,3.55,536.61
54,25,18,3,12.77,8.04,75.61,Friesian,1,396,32.13,3.77,469.0
24,22,24,30,20.15,19.12,50.76,White Fulani,6,598,32.94,3.1,453.69
43,12,33,12,18.87,17.52,89.62,White Fulani,2,513,35.1,4.73,353.21
34,14,22,30,21.79,17.23,76.34,White Fulani,1,796,33.07,4.1,379.6
23,15,20,42,16.53,9.33,82.33,Bunaji,2,294,30.37,3.76,405.17
35,11,17,37,13.47,18.1,59.69,Holstein,6,437,25.2,3.01,361.97
53,16,12,19,22.45,19.15,66.2,White Fulani,6,480,36.39,3.86,434.35
49,30,22,0,19.85,12.29,75.91,Holstein,6,280,37.56,4.45,553.75
27,31,29,13,20.28,14.32,68.53,White Fulani,4,302,32.75,3.66,511.39
23,22,36,19,22.08,11.26,69.87,Jersey,2,603,32.84,3.85,401.59
48,27,31,0,21.19,8.75,83.57,Holstein,9,639,38.93,4.69,479.66
48,20,34,0,16.68,11.24,83.71,White Fulani,4,390,31.32,4.07,443.7
36,32,35,0,19.34,19.16,83.77,Friesian,7,424,37.77,4.3,485.67
32,14,10,44,15.62,9.56,77.04,Holstein,9,782,32.94,3.65,357.5
54,24,25,0,14.72,12.42,64.79,Bunaji,7,262,31.03,4.01,475.6
50,11,25,14,16.83,18.44,79.22,Friesian,6,349,33.08,4.54,376.16
26,13,27,34,21.58,19.7,52.09,Friesian,8,687,28.67,3.0,380.09
54,22,34,0,22.7,17.38,71.75,Bunaji,5,774,35.57,4.14,477.64
57,26,21,0,19.74,8.12,68.56,Friesian,4,627,32.61,4.59,508.33
39,32,37,0,15.47,10.64,55.26,Friesian,6,424,30.08,3.25,537.62
26,29,34,11,16.83,8.02,61.99,White Fulani,4,477,29.65,3.26,470.88
44,33,17,6,14.69,9.83,85.98,White Fulani,9,406,35.0,3.87,521.48
45,13,35,7,24.87,10.87,71.23,Holstein,4,683,39.63,4.45,427.63
41,18,26,15,14.93,10.35,55.63,Holstein,9,643,25.77,3.05,423.43
23,24,37,16,20.36,17.72,87.9,Holstein,6,465,36.25,4.18,464.9
50,18,23,9,12.81,9.77,50.31,White Fulani,4,610,24.27,3.12,435.76
34,30,23,13,12.99,11.3,82.28,Holstein,2,551,32.45,3.69,489.34
49,15,38,0,18.26,18.77,76.97,Friesian,1,580,33.79,4.28,407.96
30,14,34,22,23.95,10.11,58.56,White Fulani,2,403,33.74,3.39,406.34
36,20,20,24,18.78,19.73,80.29,Holstein,8,727,32.24,4.23,463.85
39,33,27,1,22.03,13.99,50.48,Friesian,4,761,36.76,3.67,514.66
40,33,19,8,16.18,18.18,79.15,Holstein,6,404,34.48,3.89,503.08
28,31,33,8,24.87,19.46,69.79,Jersey,9,576,38.9,3.63,448.93
49,12,12,27,24.36,14.93,64.28,Holstein,2,365,37.55,3.74,431.52
20,22,29,29,13.32,14.07,58.83,Jersey,9,442,24.77,2.87,419.21
48,13,14,25,21.35,14.76,67.1,Holstein,3,652,33.48,3.82,440.41
42,19,29,10,18.47,10.46,73.65,Bunaji,9,617,32.5,4.15,418.58
47,23,34,0,16.74,11.54,85.18,Holstein,1,616,35.55,4.41,487.72
43,33,19,5,22.72,14.19,68.53,White Fulani,5,497,37.04,4.13,518.41
50,30,39,0,18.92,15.09,52.45,White Fulani,6,606,31.95,3.65,567.9
41,24,13,22,24.57,10.69,76.52,Jersey,9,592,39.26,4.51,476.73
56,34,25,0,22.62,10.18,64.84,White Fulani,6,777,38.82,4.48,614.78
50,19,19,12,12.27,11.23,70.7,Friesian,1,729,30.13,3.42,460.86
44,30,14,12,13.33,14.17,70.36,Bunaji,4,330,32.53,3.86,526.32
42,16,38,4,23.2,11.29,82.28,Bunaji,9,390,37.63,4.6,377.72
22,26,26,26,21.45,14.74,87.88,Friesian,1,723,37.69,4.04,437.75
38,20,29,13,13.62,17.57,74.64,Jersey,2,564,31.18,4.06,429.2
52,26,17,5,12.67,14.06,78.74,Friesian,6,774,31.92,4.08,512.08
21,33,31,15,20.75,17.56,60.02,Friesian,8,624,35.67,3.5,493.23
38,28,27,7,15.22,9.95,57.48,Bunaji,5,580,29.15,2.99,476.76
47,23,14,16,12.89,17.41,61.43,Holstein,9,268,29.01,3.33,475.23
49,24,16,11,24.28,15.7,76.86,Bunaji,7,775,40.88,4.63,485.49
27,19,26,28,13.34,14.57,89.16,Bunaji,9,331,29.57,3.75,449.03
46,26,21,7,12.96,15.27,70.67,White Fulani,3,457,31.21,4.11,464.65
58,24,15,3,12.89,13.16,77.83,Friesian,3,732,32.58,3.88,503.59
53,31,12,4,16.85,14.76,68.03,Bunaji,6,692,35.43,3.64,522.7
41,13,11,35,16.86,8.61,75.1,Friesian,4,256,31.44,3.85,375.53
20,19,13,48,21.43,15.41,79.58,White Fulani,6,425,34.07,4.28,404.31
40,34,37,0,23.2,17.81,70.51,Friesian,3,497,40.8,4.13,509.51
39,22,17,22,20.5,17.82,52.0,Bunaji,4,296,31.5,3.32,449.07
22,10,20,48,19.73,12.47,63.32,Friesian,2,799,29.91,3.3,313.85
32,33,23,12,17.17,14.16,60.13,White Fulani,8,743,32.87,3.26,528.46
47,10,31,12,23.18,8.42,81.49,Holstein,2,694,40.59,4.61,393.89
57,17,13,13,18.96,9.73,81.36,Friesian,2,312,35.27,4.17,432.19
43,13,37,7,13.37,17.17,66.39,Bunaji,2,370,26.7,3.38,374.15
48,14,26,12,14.41,15.97,85.27,White Fulani,4,318,33.92,3.84,423.15
43,34,22,1,16.0,18.97,88.11,Bunaji,4,426,34.87,4.44,525.18
52,26,30,0,23.75,8.93,83.15,Bunaji,7,674,42.05,4.89,505.5
22,34,31,13,15.85,13.51,66.44,Friesian,4,744,31.22,2.67,486.67
59,30,11,0,18.91,17.47,61.87,Bunaji,6,538,33.95,3.63,539.45
29,24,37,10,19.57,9.42,58.48,Friesian,7,496,32.18,3.15,418.02
34,33,17,16,24.82,12.98,80.15,Holstein,1,268,39.96,4.67,499.85
53,28,22,0,23.32,15.58,71.3,Bunaji,1,494,40.44,4.3,492.21
43,26,16,15,13.49,17.18,77.16,Bunaji,1,352,30.56,3.84,535.42
51,25,34,0,21.51,16.37,80.11,Bunaji,9,585,36.84,4.43,491.5
26,23,38,13,14.38,18.26,85.3,Jersey,3,388,30.31,3.66,420.49
59,13,24,4,12.87,15.78,52.96,Jersey,2,582,27.36,3.35,439.92
48,19,38,0,17.8,8.84,79.17,White Fulani,8,308,32.95,4.52,429.95
50,20,36,0,16.93,17.98,83.69,Jersey,9,597,34.0,4.2,456.98
34,25,34,7,19.55,13.11,71.92,White Fulani,7,729,32.46,3.83,471.48
48,16,37,0,14.53,18.68,80.0,Jersey,1,649,32.98,4.19,438.83
45,13,19,23,19.52,15.59,56.26,Holstein,6,777,29.43,3.36,388.84
49,21,19,11,18.59,10.26,53.08,White Fulani,2,427,30.39,3.73,447.58
37,26,39,0,21.0,11.17,87.56,Jersey,1,405,35.63,4.36,480.79
29,16,30,25,22.59,17.34,80.43,Holstein,6,589,36.11,4.27,411.33
52,17,10,21,18.03,11.17,66.61,Jersey,3,766,33.93,4.01,436.89
59,16,17,8,20.67,9.13,79.92,Friesian,1,431,39.3,5.1,414.47
35,22,26,17,24.5,18.7,83.97,Friesian,6,757,37.36,4.58,467.7
51,32,24,0,18.65,8.06,87.54,Holstein,5,374,40.09,4.91,575.1
48,28,20,4,20.79,9.66,73.15,Bunaji,3,789,35.32,4.22,518.37
39,15,34,12,18.55,19.39,83.31,Bunaji,7,720,34.09,4.25,408.05
42,18,36,4,21.06,15.78,61.01,Friesian,3,313,32.48,3.98,387.58
33,27,29,11,20.91,8.3,56.86,Friesian,8,367,36.9,3.53,471.34
47,33,35,0,17.22,9.84,72.9,Bunaji,6,687,38.15,4.3,545.68
27,17,35,21,13.1,15.28,85.24,White Fulani,7,294,28.38,3.99,383.93
28,12,28,32,12.39,18.77,74.91,Bunaji,7,513,24.88,3.25,331.7
36,19,39,6,15.98,14.62,81.58,Jersey,7,613,29.81,3.95,385.55
57,33,19,0,12.97,13.26,71.2,White Fulani,5,545,33.51,3.68,554.03
55,22,13,10,14.74,17.71,55.88,Jersey,6,632,30.82,3.68,504.01
24,15,19,42,18.57,9.73,74.96,Friesian,7,394,31.48,3.65,425.91
53,18,31,0,21.43,14.89,76.69,White Fulani,8,648,35.68,4.47,415.22
51,18,17,14,16.83,10.34,69.58,Jersey,9,696,34.85,4.07,425.97
